#TICID  tstart  tend  ED  Amplitude  Ebol Cadence
220429097 2197.418 2197.424 29.611 0.121 5.671E+31 120
220429097 2210.685 2210.696 185.655 0.629 3.556E+32 120
220429097 2212.860 2212.867 49.847 0.140 9.547E+31 120
220429097 2314.053 2314.057 54.547 0.271 1.045E+32 120
220429097 2363.810 2363.829 244.865 0.424 4.690E+32 120
220429097 2329.591 2329.602 94.929 0.195 1.818E+32 120
220429097 2314.053 2314.057 54.547 0.271 1.045E+32 120
220429097 2337.422 2337.427 49.877 0.212 9.553E+31 120
220429097 2355.603 2355.608 48.102 0.199 9.213E+31 120
14436662 2535.779 2535.804 1055.821 1.670 2.118E+33 120
3723412 2368.587 2368.598 555.104 1.313 8.632E+32 120
441000085 1602.933 1602.937 213.499 1.078 3.438E+32 120
175241416 2515.820 2515.820 5.015 0.098 1.090E+31 20
175241416 2508.264 2508.264 5.429 0.113 1.181E+31 20
175241416 2501.870 2501.939 5331.270 7.774 1.159E+34 20
175241416 2500.902 2500.903 8.809 0.120 1.916E+31 20
175241416 2510.693 2510.699 31.449 0.117 6.839E+31 20
175241416 2516.595 2516.606 62.387 0.130 1.357E+32 20
175241416 2518.731 2518.740 78.873 0.270 1.715E+32 20
175241416 2517.934 2517.944 91.846 0.347 1.997E+32 20
175241416 2521.333 2521.347 92.281 0.146 2.007E+32 20
175241416 2517.438 2517.448 99.851 0.233 2.171E+32 20
175241416 2523.680 2523.693 131.692 0.390 2.864E+32 20
175241416 2510.975 2510.992 180.617 0.542 3.928E+32 20
175241416 2502.492 2502.505 186.225 0.611 4.050E+32 20
175241416 2520.690 2520.720 243.159 0.316 5.288E+32 20
175241416 2564.247 2564.249 31.942 0.182 6.946E+31 20
175241416 2577.902 2577.906 36.863 0.218 8.016E+31 20
175241416 2571.018 2571.026 45.122 0.092 9.812E+31 20
175241416 2557.482 2557.489 46.278 0.135 1.006E+32 20
